Frame,Cell0_Detected,Cell1_Detected,Cell2_Detected,Cell3_Detected,Cell0_Matched,Cell1_Matched,Cell2_Matched,Cell3_Matched,Cell0_ProcTime_ms,Cell1_ProcTime_ms,Cell2_ProcTime_ms,Cell3_ProcTime_ms
349,250,250,250,250,245,249,245,250,163.305,167.298,166.149,168.092
350,250,250,250,250,250,250,250,250,161.837,161.206,166.597,177.651
351,250,250,250,250,1,3,2,3,175.303,163.584,165.573,165.036
352,250,250,250,250,245,250,243,250,159.428,161.845,164.301,168.817
353,250,250,250,250,5,2,0,4,168.961,167.689,167.105,168.531
354,250,250,250,250,249,250,250,250,161.353,165.462,163.748,164.248
355,250,250,250,250,250,250,250,250,165.363,169.616,172.475,168.73
356,250,250,250,250,4,4,3,4,169.553,169.901,169.195,170.41
357,250,250,250,250,237,236,244,250,166.142,165.422,163.282,170.257
358,250,250,250,250,2,2,3,2,164.585,172.329,162.228,169.982
359,250,250,250,250,250,250,250,250,163.611,167.412,165.914,163.676
360,250,250,250,250,6,4,0,8,163.84,166.898,164.822,169.29
361,250,250,250,250,250,250,250,249,170.633,163.893,164.392,165.564
362,250,250,250,250,250,250,250,250,164.209,168.918,165.877,167.694
363,250,250,250,250,1,2,1,6,164.05,167.054,167.254,163.433
364,250,250,250,250,249,250,249,250,177.413,166.648,171.445,171.057
365,250,250,250,250,5,8,0,5,181.452,183.352,185.234,168.745
366,250,250,250,250,236,250,249,250,212.822,186.603,188.592,198.494
367,250,250,250,250,250,250,250,250,168.821,170.451,175.151,169.244
368,250,250,250,250,2,3,4,5,186.121,174.61,168.81,171.651
369,250,250,250,250,245,250,250,250,174.792,178.021,177.839,173.959
370,250,250,250,250,8,10,2,4,182.038,168.721,174.987,177.996
371,250,250,250,250,249,249,249,249,172.824,171.855,173.059,174.689
372,250,250,250,250,3,4,4,9,185.593,166.439,163.252,162.633
373,250,250,250,250,249,250,250,250,177.973,170.571,170.177,175.207
374,250,250,250,250,250,250,250,250,165.445,169.796,172.347,168.501
375,250,250,250,250,2,2,2,2,165.341,161.843,161.761,165.404
376,250,250,250,250,248,247,245,247,166.86,171.09,179.162,165.417
377,250,250,250,250,9,3,3,10,205.542,228.786,237.457,209.447
378,250,250,250,250,248,250,250,250,198.578,356.791,210.5,239.361
379,250,250,250,250,250,250,248,250,193.641,177.726,176.023,167.968
380,250,250,250,250,8,5,2,11,173.358,169.847,168.376,170.462
381,250,250,250,250,236,246,246,249,165.662,177.519,167.352,170.992
382,250,250,250,250,7,5,1,2,168.015,171.377,168.632,166.063
383,250,250,250,250,250,250,250,250,169.084,164.549,171.613,167.935
